Sample Id	Group	SNAP23, Protein levels
7316-114	(A) Pediatric High Grade Gliomas	-0.2043
7316-1455	(A) Pediatric High Grade Gliomas	-0.1943
7316-1746	(A) Pediatric High Grade Gliomas	0.2837
7316-1763	(A) Pediatric High Grade Gliomas	-0.5943
7316-1769	(A) Pediatric High Grade Gliomas	0.2323
7316-1789	(A) Pediatric High Grade Gliomas	-0.0213
7316-194	(A) Pediatric High Grade Gliomas	-0.7257
7316-195	(A) Pediatric High Grade Gliomas	-0.2972
7316-2140	(A) Pediatric High Grade Gliomas	-0.5163
7316-2146	(A) Pediatric High Grade Gliomas	-0.2004
7316-2151	(A) Pediatric High Grade Gliomas	0.4894
7316-2152	(A) Pediatric High Grade Gliomas	0.1816
7316-24	(A) Pediatric High Grade Gliomas	-0.2766
7316-2594	(A) Pediatric High Grade Gliomas	0.3237
7316-2751	(A) Pediatric High Grade Gliomas	-0.676
7316-3022	(A) Pediatric High Grade Gliomas	0.3158
7316-3303	(A) Pediatric High Grade Gliomas	0.2292
7316-371	(A) Pediatric High Grade Gliomas	-0.522
7316-3765	(A) Pediatric High Grade Gliomas	-0.6525
7316-388	(A) Pediatric High Grade Gliomas	0.2163
7316-445	(A) Pediatric High Grade Gliomas	-0.1239
7316-466	(A) Pediatric High Grade Gliomas	0.1329
7316-89	(A) Pediatric High Grade Gliomas	0.0767
7316-913	(A) Pediatric High Grade Gliomas	-0.4097
7316-942	(A) Pediatric High Grade Gliomas	0.0117
7316-117	(B) Pediatric Low Grade Gliomas	0.6382
7316-119	(B) Pediatric Low Grade Gliomas	0.1905
7316-121	(B) Pediatric Low Grade Gliomas	0.2732
7316-127	(B) Pediatric Low Grade Gliomas	0.6788
7316-134	(B) Pediatric Low Grade Gliomas	0.5154
7316-146	(B) Pediatric Low Grade Gliomas	0.6521
7316-148	(B) Pediatric Low Grade Gliomas	-0.0647
7316-154	(B) Pediatric Low Grade Gliomas	-0.0539
7316-162	(B) Pediatric Low Grade Gliomas	-0.1702
7316-167	(B) Pediatric Low Grade Gliomas	-0.4473
7316-168	(B) Pediatric Low Grade Gliomas	0.4366
7316-173	(B) Pediatric Low Grade Gliomas	0.5715
7316-175	(B) Pediatric Low Grade Gliomas	-0.1431
7316-176	(B) Pediatric Low Grade Gliomas	0.3293
7316-1760	(B) Pediatric Low Grade Gliomas	-0.0506
7316-1767	(B) Pediatric Low Grade Gliomas	0.6865
7316-183	(B) Pediatric Low Grade Gliomas	-0.5091
7316-1851	(B) Pediatric Low Grade Gliomas	0.1295
7316-186	(B) Pediatric Low Grade Gliomas	0.0216
7316-193	(B) Pediatric Low Grade Gliomas	-0.5194
7316-196	(B) Pediatric Low Grade Gliomas	-0.4589
7316-20	(B) Pediatric Low Grade Gliomas	0.3946
7316-206	(B) Pediatric Low Grade Gliomas	0.3635
7316-207	(B) Pediatric Low Grade Gliomas	0.211
7316-2154	(B) Pediatric Low Grade Gliomas	0.2919
7316-2167	(B) Pediatric Low Grade Gliomas	-0.0675
7316-217	(B) Pediatric Low Grade Gliomas	-0.32
7316-2172	(B) Pediatric Low Grade Gliomas	0.5748
7316-2174	(B) Pediatric Low Grade Gliomas	-0.4785
7316-2184	(B) Pediatric Low Grade Gliomas	0.9323
7316-2193	(B) Pediatric Low Grade Gliomas	0.5139
7316-2195	(B) Pediatric Low Grade Gliomas	-0.1393
7316-222	(B) Pediatric Low Grade Gliomas	0.2409
7316-2581	(B) Pediatric Low Grade Gliomas	0.2886
7316-2663	(B) Pediatric Low Grade Gliomas	-0.079
7316-2664	(B) Pediatric Low Grade Gliomas	0.5601
7316-2667	(B) Pediatric Low Grade Gliomas	-0.0189
7316-2669	(B) Pediatric Low Grade Gliomas	0.2636
7316-267	(B) Pediatric Low Grade Gliomas	0.0085
7316-2723	(B) Pediatric Low Grade Gliomas	-0.3384
7316-2729	(B) Pediatric Low Grade Gliomas	0.7212
7316-2755	(B) Pediatric Low Grade Gliomas	0.5147
7316-2899	(B) Pediatric Low Grade Gliomas	0.12
7316-2900	(B) Pediatric Low Grade Gliomas	-0.4337
7316-3055	(B) Pediatric Low Grade Gliomas	0.4482
7316-3062	(B) Pediatric Low Grade Gliomas	0.506
7316-3068	(B) Pediatric Low Grade Gliomas	0.329
7316-32	(B) Pediatric Low Grade Gliomas	0.082
7316-329	(B) Pediatric Low Grade Gliomas	0.5449
7316-332	(B) Pediatric Low Grade Gliomas	0.6141
