Sample Id	Group	PELP1, Protein levels
7316-114	(A) Pediatric High Grade Gliomas	-0.0555
7316-1455	(A) Pediatric High Grade Gliomas	-0.2711
7316-1746	(A) Pediatric High Grade Gliomas	0.1752
7316-1763	(A) Pediatric High Grade Gliomas	0.0279
7316-1769	(A) Pediatric High Grade Gliomas	-0.4744
7316-1789	(A) Pediatric High Grade Gliomas	-0.7478
7316-194	(A) Pediatric High Grade Gliomas	-0.3669
7316-195	(A) Pediatric High Grade Gliomas	0.133
7316-2140	(A) Pediatric High Grade Gliomas	0.3891
7316-2146	(A) Pediatric High Grade Gliomas	0.0318
7316-2151	(A) Pediatric High Grade Gliomas	-0.3445
7316-2152	(A) Pediatric High Grade Gliomas	-0.036
7316-24	(A) Pediatric High Grade Gliomas	0.2266
7316-2594	(A) Pediatric High Grade Gliomas	-0.275
7316-2751	(A) Pediatric High Grade Gliomas	-0.2822
7316-3022	(A) Pediatric High Grade Gliomas	-0.2926
7316-3303	(A) Pediatric High Grade Gliomas	-0.6696
7316-371	(A) Pediatric High Grade Gliomas	-0.668
7316-3765	(A) Pediatric High Grade Gliomas	-0.5819
7316-388	(A) Pediatric High Grade Gliomas	-0.5791
7316-445	(A) Pediatric High Grade Gliomas	-0.5955
7316-466	(A) Pediatric High Grade Gliomas	-0.1015
7316-89	(A) Pediatric High Grade Gliomas	-0.635
7316-913	(A) Pediatric High Grade Gliomas	0.063
7316-942	(A) Pediatric High Grade Gliomas	-0.3633
7316-117	(B) Pediatric Low Grade Gliomas	-0.6197
7316-119	(B) Pediatric Low Grade Gliomas	-0.8986
7316-121	(B) Pediatric Low Grade Gliomas	-0.5731
7316-127	(B) Pediatric Low Grade Gliomas	-0.4068
7316-134	(B) Pediatric Low Grade Gliomas	-0.5975
7316-146	(B) Pediatric Low Grade Gliomas	-0.2703
7316-148	(B) Pediatric Low Grade Gliomas	-0.6952
7316-154	(B) Pediatric Low Grade Gliomas	-0.1625
7316-162	(B) Pediatric Low Grade Gliomas	-0.842
7316-167	(B) Pediatric Low Grade Gliomas	-0.509
7316-168	(B) Pediatric Low Grade Gliomas	-0.6981
7316-173	(B) Pediatric Low Grade Gliomas	-0.6916
7316-175	(B) Pediatric Low Grade Gliomas	-1.2725
7316-176	(B) Pediatric Low Grade Gliomas	-0.5593
7316-1760	(B) Pediatric Low Grade Gliomas	-0.0243
7316-1767	(B) Pediatric Low Grade Gliomas	-0.4303
7316-183	(B) Pediatric Low Grade Gliomas	-0.6012
7316-1851	(B) Pediatric Low Grade Gliomas	-0.7169
7316-186	(B) Pediatric Low Grade Gliomas	-0.553
